NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-345,1,Fase 2 (5º e 6º ano)
ALUNO-346,,
ALUNO-347,0,ALFA  (2º e 3º ano)
ALUNO-348,1,Fase 2 (5º e 6º ano)
ALUNO-349,,
ALUNO-350,0,ALFA  (2º e 3º ano)
ALUNO-351,2,Fase 2 (5º e 6º ano)
ALUNO-352,4,Fase 5 (1º EM)
ALUNO-353,,
ALUNO-354,,
ALUNO-355,,
ALUNO-356,0,Fase 1 (4º ano)
ALUNO-357,3,Fase 4 (9º ano)
ALUNO-358,7,Fase 8 (Universitários)
ALUNO-359,3,Fase 3 (7º e 8º ano)
ALUNO-360,3,Fase 3 (7º e 8º ano)
ALUNO-361,,
ALUNO-362,3,Fase 3 (7º e 8º ano)
ALUNO-363,0,Fase 1 (4º ano)
ALUNO-364,2,Fase 2 (5º e 6º ano)
ALUNO-365,7,Fase 7 (3º EM)
ALUNO-366,3,Fase 4 (9º ano)
ALUNO-367,,
ALUNO-368,,
ALUNO-369,5,Fase 7 (3º EM)
ALUNO-370,4,Fase 5 (1º EM)
ALUNO-371,,
ALUNO-372,,
ALUNO-373,5,Fase 6 (2º EM)
ALUNO-374,,
ALUNO-375,3,Fase 3 (7º e 8º ano)
ALUNO-376,,
ALUNO-377,3,Fase 3 (7º e 8º ano)
ALUNO-378,7,Fase 7 (3º EM)
ALUNO-379,,
ALUNO-380,,
ALUNO-381,0,Fase 2 (5º e 6º ano)
ALUNO-382,,
ALUNO-383,,
ALUNO-384,,
ALUNO-385,,
ALUNO-386,0,Fase 1 (4º ano)
ALUNO-387,4,Fase 5 (1º EM)
ALUNO-388,2,Fase 4 (9º ano)
ALUNO-389,,
ALUNO-390,,
ALUNO-391,0,Fase 1 (4º ano)
ALUNO-392,0,ALFA  (2º e 3º ano)
ALUNO-393,,
ALUNO-394,4,Fase 7 (3º EM)
ALUNO-395,3,Fase 6 (2º EM)
ALUNO-396,6,Fase 7 (3º EM)
ALUNO-397,,
ALUNO-398,0,ALFA  (2º e 3º ano)
ALUNO-399,,
ALUNO-400,,
ALUNO-401,,
ALUNO-402,0,ALFA  (2º e 3º ano)
ALUNO-403,4,Fase 4 (9º ano)
ALUNO-404,5,Fase 5 (1º EM)
ALUNO-405,1,Fase 1 (4º ano)
ALUNO-406,1,Fase 3 (7º e 8º ano)
ALUNO-407,5,Fase 5 (1º EM)
ALUNO-408,,
ALUNO-409,2,Fase 3 (7º e 8º ano)
ALUNO-410,0,Fase 1 (4º ano)
ALUNO-411,0,ALFA  (2º e 3º ano)
ALUNO-412,1,Fase 1 (4º ano)
ALUNO-413,2,Fase 3 (7º e 8º ano)
ALUNO-414,,
ALUNO-415,4,Fase 8 (Universitários)
ALUNO-416,3,Fase 5 (1º EM)
ALUNO-417,1,Fase 1 (4º ano)
ALUNO-418,0,Fase 2 (5º e 6º ano)
ALUNO-419,4,Fase 6 (2º EM)
ALUNO-420,1,Fase 2 (5º e 6º ano)
ALUNO-421,5,Fase 7 (3º EM)
ALUNO-422,1,Fase 2 (5º e 6º ano)
ALUNO-423,,
ALUNO-424,2,Fase 4 (9º ano)
ALUNO-425,4,Fase 5 (1º EM)
ALUNO-426,,
ALUNO-427,0,ALFA  (2º e 3º ano)
ALUNO-428,1,Fase 2 (5º e 6º ano)
ALUNO-429,2,Fase 3 (7º e 8º ano)
ALUNO-430,0,Fase 2 (5º e 6º ano)
ALUNO-431,,
ALUNO-432,1,Fase 2 (5º e 6º ano)
ALUNO-433,2,Fase 2 (5º e 6º ano)
ALUNO-434,3,Fase 4 (9º ano)
ALUNO-435,,
ALUNO-436,2,Fase 3 (7º e 8º ano)
ALUNO-437,1,Fase 2 (5º e 6º ano)
ALUNO-438,7,Fase 8 (Universitários)
ALUNO-439,,
ALUNO-440,,
ALUNO-441,3,Fase 3 (7º e 8º ano)
ALUNO-442,,
ALUNO-443,,
ALUNO-444,2,Fase 3 (7º e 8º ano)
ALUNO-445,,
ALUNO-446,0,Fase 2 (5º e 6º ano)
ALUNO-447,1,Fase 3 (7º e 8º ano)
ALUNO-448,2,Fase 3 (7º e 8º ano)
ALUNO-449,2,Fase 2 (5º e 6º ano)
ALUNO-450,5,Fase 7 (3º EM)
ALUNO-451,,
ALUNO-452,1,Fase 2 (5º e 6º ano)
ALUNO-453,,
ALUNO-454,5,Fase 7 (3º EM)
ALUNO-455,2,Fase 2 (5º e 6º ano)
